"alpha","beta","gamma","q_factor","q","abs_z","val_series","val_integrate","val_dispatch","val_ref","val_ref_quad","series_returned_nan","rel_err_series","rel_err_integrate","rel_err_dispatch","ref_iterations","ref_reached_max"
1.5,1,10,0.333333333333333,1.71525043702153,10,9.54132217907091e-07,9.54132217944219e-07,9.54132217907091e-07,9.54132217907086e-07,9.54132217907097e-07,FALSE,6.21426519249707e-15,3.89066266180538e-11,6.21426519249707e-15,215,FALSE
3,1,10,0.333333333333333,1.76129406047167,10,2.40437281778303e-07,2.40437281778301e-07,2.40437281778303e-07,2.40437281778301e-07,2.40437281778305e-07,FALSE,1.03484753452408e-14,1.56328031811085e-14,1.03484753452408e-14,216,FALSE
10,1,10,0.333333333333333,1.95136732208323,10,5.21404830269794e-10,5.21404830269794e-10,5.21404830269794e-10,5.21404830269793e-10,5.21404830269792e-10,FALSE,4.16442077613314e-15,4.16442077613314e-15,4.16442077613314e-15,218,FALSE
0.3,1,15,0.333333333333333,2.50664898307629,15,1.81294144178719e-12,1.81294144178719e-12,1.81294144178719e-12,1.81294144178719e-12,1.8129414417872e-12,FALSE,2.45063878832455e-15,6.0152042986148e-15,2.45063878832455e-15,236,FALSE
0.7,1,15,0.333333333333333,2.51545995151521,15,1.26158932174005e-12,1.26158932174005e-12,1.26158932174005e-12,1.26158932174005e-12,1.26158932174004e-12,FALSE,1.24858179155539e-14,8.96417696501302e-15,1.24858179155539e-14,236,FALSE
1,1,15,0.333333333333333,2.52202812687281,15,9.61783376845392e-13,9.61783376845398e-13,9.61783376845388e-13,9.61783376845394e-13,9.61783376845397e-13,FALSE,5.6692668101334e-15,1.46980991373829e-15,9.23880517206924e-15,236,FALSE
1.5,1,15,0.333333333333333,2.53290035986172,15,6.12568404660451e-13,6.12568404660451e-13,6.12568404660451e-13,6.1256840466045e-13,6.12568404660442e-13,FALSE,1.56595549729745e-14,1.56595549729745e-14,1.56595549729745e-14,236,FALSE
3,1,15,0.333333333333333,2.56497781983829,15,1.59511137519083e-13,1.59511137519084e-13,1.59511137519083e-13,1.59511137519083e-13,1.59511137519086e-13,FALSE,1.93071971141472e-14,1.21856899818798e-14,1.93071971141472e-14,237,FALSE
10,1,15,0.333333333333333,2.70535409971441,15,3.40521535653617e-16,3.40521535653614e-16,3.40521535653617e-16,3.40521535653616e-16,3.4052153565362e-16,FALSE,8.10818958329279e-15,1.5202855468674e-14,8.10818958329279e-15,239,FALSE
0.3,1,18,0.333333333333333,3.00554530541816,18,2.5201428756625e-17,2.52014287566252e-17,2.5201428756625e-17,2.52014287566253e-17,2.52014287566241e-17,FALSE,3.69268487955591e-14,4.40187601536466e-14,3.69268487955591e-14,252,FALSE
0.7,1,18,0.333333333333333,3.0129074290547,18,1.76032589060665e-17,1.76032589060665e-17,1.76032589060665e-17,1.76032589060666e-17,1.76032589060661e-17,FALSE,2.24066722369563e-14,2.24066722369563e-14,2.24066722369563e-14,252,FALSE
1,1,18,0.333333333333333,3.01840559652405,18,1.34549065758261e-17,1.34549065758262e-17,1.34549065758259e-17,1.34549065758263e-17,1.34549065758262e-17,FALSE,4.46595551788081e-15,2.63376863875022e-15,1.86654038311429e-14,252,FALSE
1.5,1,18,0.333333333333333,3.02752523165195,18,8.60324643645193e-18,8.60324643645199e-18,8.60324643645193e-18,8.60324643645198e-18,8.60324643645186e-18,FALSE,7.87990144687633e-15,1.50434482167639e-14,7.87990144687633e-15,253,FALSE
